PY,IPA
zhai,ʈʂai
zhan,ʈʂan
zhang,ʈʂaŋ
zhao,ʈʂau
zhe,ʈʂɤ
zhei,ʈʂei
zhen,ʈʂən
zheng,ʈʂəŋ
zhi,ʈʂɨ
zhong,ʈʂʊŋ
zhou,ʈʂou
zhu,ʈʂu
zhua,ʈʂua
zhuai,ʈʂuai
zhuan,ʈʂuan
zhuang,ʈʂuaŋ
zhui,ʈʂuei
zhun,ʈʂuən
zhuo,ʈʂuo
zi,tsɨ
zong,tsʊŋ
zou,tsou
zu,tsu
zuan,tsuan
zui,tsuei
zun,tsuən
zuo,tsuo
