451100,贺州市,贺州
451200,河池市,河池
451300,来宾市,来宾
451400,崇左市,崇左
460100,海口市,海口
460200,三亚市,三亚
460300,三沙市,三沙
460400,儋州市,儋州
510100,成都市,成都
510300,自贡市,自贡
510400,攀枝花市,攀枝花
510500,泸州市,泸州
510600,德阳市,德阳
510700,绵阳市,绵阳
510800,广元市,广元
510900,遂宁市,遂宁
511000,内江市,内江
511100,乐山市,乐山
511300,南充市,南充
511400,眉山市,眉山
511500,宜宾市,宜宾
511600,广安市,广安
511700,达州市,达州
511800,雅安市,雅安
511900,巴中市,巴中
512000,资阳市,资阳
513200,阿坝藏族羌族自治州,阿坝
513300,甘孜藏族自治州,甘孜
513400,凉山彝族自治州,凉山
520100,贵阳市,贵阳
520200,六盘水市,六盘水
520300,遵义市,遵义
520400,安顺市,安顺
520500,毕节市,毕节
520600,铜仁市,铜仁
522300,黔西南布依族苗族自治州,黔西南
522600,黔东南苗族侗族自治州,黔东南
522700,黔南布依族苗族自治州,黔南
530100,昆明市,昆明
530300,曲靖市,曲靖
530400,玉溪市,玉溪
530500,保山市,保山
530600,昭通市,昭通
530700,丽江市,丽江
530800,普洱市,普洱
530900,临沧市,临沧
532300,楚雄彝族自治州,楚雄
532500,红河哈尼族彝族自治州,红河
532600,文山壮族苗族自治州,文山
532800,西双版纳傣族自治州,西双版纳
532900,大理白族自治州,大理
533100,德宏傣族景颇族自治州,德宏
533300,怒江傈僳族自治州,怒江
533400,迪庆藏族自治州,迪庆
540100,拉萨市,拉萨
540200,日喀则市,日喀则
540300,昌都市,昌都
540400,林芝市,林芝
540500,山南市,山南
540600,那曲市,那曲
542500,阿里地区,阿里
610100,西安市,西安
610200,铜川市,铜川
610300,宝鸡市,宝鸡
610400,咸阳市,咸阳
610500,渭南市,渭南
610600,延安市,延安
610700,汉中市,汉中
610800,榆林市,榆林
610900,安康市,安康
611000,商洛市,商洛
620100,兰州市,兰州
620200,嘉峪关市,嘉峪关
620300,金昌市,金昌
620400,白银市,白银
620500,天水市,天水
620600,武威市,武威
620700,张掖市,张掖
620800,平凉市,平凉
620900,酒泉市,酒泉
621000,庆阳市,庆阳
621100,定西市,定西
621200,陇南市,陇南
622900,临夏回族自治州,临夏
623000,甘南藏族自治州,甘南
630100,西宁市,西宁
630200,海东市,海东
632200,海北藏族自治州,海北
632300,黄南藏族自治州,黄南
632500,海南藏族自治州,海南
632600,果洛藏族自治州,果洛
632700,玉树藏族自治州,玉树
632800,海西蒙古族藏族自治州,海西
640100,银川市,银川
640200,石嘴山市,石嘴山
640300,吴忠市,吴忠
640400,固原市,固原
640500,中卫市,中卫
650100,乌鲁木齐市,乌鲁木齐
650200,克拉玛依市,克拉玛依
650400,吐鲁番市,吐鲁番
650500,哈密市,哈密
652300,昌吉回族自治州,昌吉
652700,博尔塔拉蒙古自治州,博尔塔拉
652800,巴音郭楞蒙古自治州,巴音郭楞
652900,阿克苏地区,阿克苏
653000,克孜勒苏柯尔克孜自治州,克孜勒苏
653100,喀什地区,喀什
653200,和田地区,和田
654000,伊犁哈萨克自治州,伊犁
654200,塔城地区,塔城
654300,阿勒泰地区,阿勒泰
710100,台北市,台北
710200,高雄市,高雄
710300,新北市,新北
710400,台中市,台中
710500,台南市,台南
710600,桃园市,桃园
